Provider Name,State,City,Claims Paid for Testing,Claims Paid for Treatment,Claims Paid for Vaccine,Georeferenced Column,States,Counties
COMMUNITY MEDICAL ASSO,KY,LOUISVILLE,0,177,0,POINT (-85.751569 38.256078),36,1327
G A CARMICHAEL FAMILY,MS,YAZOO CITY,1109,0,0,POINT (-90.41366 32.847265),32,2646
BMA OF ALABAMA,AL,VALLEY,0,0,40,POINT (-85.171465 32.817417),29,1492
KETCHIKAN GENERAL HOSP,AK,KETCHIKAN,58401,44491,0,POINT (-131.648882 55.344232),,111
CITRUS VALLEY PHYSICIA,CA,GLENDORA,0,0,1716,POINT (-117.865485 34.136001),8,1195
PEGGY A SUPPLE MD,IL,DOWNERS GROVE,0,0,2720,POINT (-88.011135 41.808855),34,1866
SPECTRUM HEALTH MEDICA,MI,BIG RAPIDS,0,7199,0,POINT (-85.48398 43.702205),50,354
FAMILYCARE MEDICAL GRO,NY,LIVERPOOL,1027,355,0,POINT (-76.206364 43.102867),47,2132
SAINT ALPHONSUS MEDICA,ID,BOISE,108,0,0,POINT (-116.201579 43.615791),5,1659
BETHESDA EMERGENCY ASS,MD,BETHESDA,37780,26556,0,POINT (-77.094135 38.984757),45,1814
LAKE CHARLES MEMORIAL,LA,LAKE CHARLES,0,107,0,POINT (-93.217112 30.229289),22,1576
MERCY MEDICAL CENTER C,IA,CEDAR RAPIDS,116,833,0,POINT (-91.669808 41.978122),16,287
UNIVERSITY MEDICAL ASS,SC,VARNVILLE,0,108,0,POINT (-81.078025 32.848598),33,2523
24 ON PHYSICIANS PC,MA,ATTLEBORO,0,35566,0,POINT (-71.284088 41.944543),25,1859
SPECTRUM HEALTHCARE GR,AZ,COTTONWOOD,728,0,720,POINT (-112.027798 34.732323),7,944
CITY PHARMACY OF LITTL,AR,LITTLE ROCK,0,0,35342,POINT (-92.275105 34.748745),15,998
MINUTECLINIC DIAGNOSTI,NJ,MARLTON,103022,9270,0,POINT (-74.922136 39.891353),46,2447
QUALITY OF LIFE HEALTH,AL,WALNUT GROVE,208,0,0,POINT (-86.28262 34.066031),29,98
THE CHARLOTTE MECKLENB,SC,ROCK HILL,0,1015,0,POINT (-81.0301 34.94133),33,2585
MONROE MEDICAL GROUP I,IN,BLOOMINGTON,0,3338,0,POINT (-86.534893 39.166587),35,1907
PLATINUM PHARMACY,GA,FAYETTEVILLE,40,0,7440,POINT (-84.455114 33.447755),31,1134
TRINITY MEDICAL GROUP,ND,SHERWOOD,0,50,0,POINT (-101.627761 48.961953),3,567
KING CARE PHARMACY LLC,MI,LANSING,0,0,360,POINT (-84.553927 42.733625),50,344
PRESCRIPTION CENTER PH,NJ,UNION CITY,280,0,48607,POINT (-74.023575 40.779442),46,488
AVALON CONSULTANTS PLL,MI,NORTHVILLE,33920,155938,81,POINT (-83.493151 42.440686),50,1307
CENTRAL VALLEY ENDOCRI,CA,VISALIA,0,413,0,POINT (-119.29888 36.33012),8,81
CHRISTUS PHYSICIAN GRO,LA,SHREVEPORT,105,472,0,POINT (-93.747757 32.51424),22,1575
EXCELCARE ALLIANCE LLC,NJ,BRIDGETON,110,4612,0,POINT (-75.234102 39.426945),46,2485
PARKRIDGE MEDICAL CENT,TN,CHATTANOOGA,877360,1540979,0,POINT (-85.308287 35.045756),39,2049
OSCAR HERRERA MD PA,FL,MIAMI,0,6631,0,POINT (-80.194702 25.775084),30,1074
GRASSROOTS PHARMACY PL,KY,LEXINGTON,0,0,400,POINT (-84.497021 38.046356),36,1230
HOMETOWN URGENT CARE,OH,COLUMBUS,2480136,362967,0,POINT (-82.996216 39.962649),38,2520
LIFE EMS OF IONIA CNTY,MI,GRAND RAPIDS,0,19133,0,POINT (-85.670209 42.965446),50,1260
SILVER PINE MEDICAL GR,MI,STERLING HEIGHTS,5311,1908,0,POINT (-83.011059 42.58968),50,1265
SIERRA EMERGENCY MEDIC,CA,PETALUMA,31553,4705,0,POINT (-122.636846 38.232474),8,1339
IMPACT PHYSICIAN GROUP,IN,INDIANAPOLIS,0,1171,0,POINT (-86.156212 39.76845),35,1904
SOUTH DADE MEDICAL GRO,FL,MIAMI,0,199152,0,POINT (-80.194702 25.775084),30,1074
TRI COUNTY COMMUNITY H,NC,TAR HEEL,2805,160,0,POINT (-78.791259 34.733501),37,635
ST JOSEPH HERITAGE HEA,CA,LAKE FOREST,0,264,0,POINT (-117.686119 33.665387),8,1174
NORTH BREVARD CHILDREN,FL,TITUSVILLE,1224,364,0,POINT (-80.807594 28.609188),30,1053
MEDICAL ASSOCIATES OF,NJ,LINCOLN PARK,170,103,0,POINT (-74.304147 40.921859),46,2492
PROFESSIONAL EMERGENCY,MD,OAKLAND,3409,758,0,POINT (-79.402893 39.413008),45,1812
COMMUNITY HEALTH SERVI,OH,FREMONT,3784,1591,0,POINT (-83.121863 41.35033),38,596
CENTRO DE SERVICIOS PR,PR,PATILLAS,2903,0,20904,POINT (-66.016149 18.005553),,976
ST LUKES PHYSICIAN GRO,PA,HAMBURG,162,0,0,POINT (-75.981642 40.555441),48,726
LTZ HEALTH SOLUTIONS L,GA,RIVERDALE,2038,187,0,POINT (-84.412534 33.572628),31,1164
EHARDTS PHARMACY INC,MI,PORT SANILAC,40,0,1880,POINT (-82.545028 43.430826),50,364
ARCADIA MEDICAL ASSOCI,FL,ARCADIA,0,67041,0,POINT (-81.863168 27.217635),30,3104
AMERICAN FAMILY CARE,AL,BESSEMER,0,0,4438,POINT (-86.961749 33.405628),29,1583
BARREN RIVER DISTRICT,KY,BOWLING GREEN,0,0,16,POINT (-86.443486 37.002405),36,259
FIRSTMED HEALTH AND WE,NV,NORTH LAS VEGAS,0,0,3978,POINT (-115.116984 36.197539),10,480
MICHIGAN HEALTHCARE PR,MI,ROYAL OAK,26503,94,0,POINT (-83.144285 42.489801),50,1307
POLARIS PHARMACY SERVI,MN,MINNEAPOLIS,0,0,21816,POINT (-93.264346 44.977479),1,1406
EASTSIDE HOSPITALIST I,FL,OAKLAND PARK,0,1539772,0,POINT (-80.131699 26.172296),30,1054
BAPTIST HEALTH SERVICE,AR,GREENWOOD,154,1501,280,POINT (-94.255811 35.212437),15,1002
VITAL MEDICAL FORCES O,NJ,DENVILLE,0,40915,0,POINT (-74.4786 40.889066),46,2492
JEFFERSON COMPREHENSIV,MS,NATCHEZ,2400,200,336,POINT (-91.405318 31.561592),32,1562
AMG CROCKETT LLC,TN,MOUNT PLEASANT,3638,900,0,POINT (-87.197781 35.54778),39,2061
HYNDMAN AREA HEALTH CE,PA,BEDFORD,93,19,40,POINT (-78.501841 40.019087),48,2457
OUR COMMUNITY HEALTH S,MO,SAINT LOUIS,297113,0,0,POINT (-90.200309 38.630276),18,2223
NORTHERN MICHIGAN EMER,MI,ESCANABA,10053,1910,0,POINT (-87.071273 45.745727),50,1271
MAGIC MART PHARMACY IN,MS,INDIANOLA,0,0,1080,POINT (-90.645293 33.457994),32,2593
ORLANDO HEALTH MEDICAL,FL,LONGWOOD,0,117288,0,POINT (-81.352659 28.704558),30,1087
HIDALGO MEDICAL SERVIC,NM,BAYARD,232,112,0,POINT (-108.132159 32.759008),11,612
TALLAHASSEE MEMORIAL H,FL,TALLAHASSEE,0,0,238,POINT (-84.278328 30.440741),30,1114
NYPMG WESTCHESTER,NY,SCARSDALE,127,1437,0,POINT (-73.796583 40.988732),47,2185
KOREAN COMMUNITY SERVI,CA,BUENA PARK,1968,2009,63684,POINT (-117.998051 33.863144),8,1174
COLLIER COUNTY EMS,FL,NAPLES,0,16332,0,POINT (-81.795483 26.147369),30,1057
FAIRVIEW HEALTH SERVIC,MN,MINNEAPOLIS,100,0,0,POINT (-93.264346 44.977479),1,1406
SUTTER MEDICAL FOUNDAT,CA,LODI,0,82,0,POINT (-121.279196 38.135674),8,1181
L PARK LLC,NJ,WEST NEW YORK,0,0,4400,POINT (-74.009287 40.785538),46,488
MIZBES INC,CA,CALABASAS,0,0,19920,POINT (-118.649794 34.151209),8,1195
ASSOCIATES IN NEPHROLO,IL,CHICAGO,0,499,0,POINT (-87.632398 41.883229),34,1863
CYREENE,MD,LEONARDTOWN,0,0,1080,POINT (-76.635163 38.297008),45,424
TENNESSEE EM I MEDICAL,TN,KNOXVILLE,191,0,0,POINT (-83.916677 35.962631),39,2013
WEST GROVE FIRE COMPAN,PA,WEST GROVE,0,2494,0,POINT (-75.827158 39.821904),48,2496
RADIOLOGY ASSOCIATES O,PA,WILKES BARRE,0,27,0,POINT (-75.881184 41.246249),48,2556
PHYSICIAN HOUSECALLS L,CO,WHEAT RIDGE,0,0,5399,POINT (-105.093757 39.769331),9,1008
AUBURN PHARMACY INC,KS,LEBO,0,0,2674,POINT (-95.857845 38.412819),17,311
WHITE HOUSE CLINICS,KY,MC KEE,287,1221,4520,POINT (-83.997733 37.430147),36,1326
CARDIOVASCULAR WELLNES,NJ,ROSELLE,0,1183,0,POINT (-74.263591 40.660112),46,2532
UNITED NEIGHBORHOOD HE,TN,NASHVILLE,0,505,0,POINT (-86.779932 36.166687),39,2005
MEDICAL ASSOCIATES OF,NJ,FORT LEE,465,2358,0,POINT (-73.968307 40.850929),46,487
VINCENTIAN PHYSICIAN S,AL,BIRMINGHAM,49,3927,0,POINT (-86.807705 33.522859),29,1583
LEXINGTON HEALTH INC,SC,COLUMBIA,0,1556,0,POINT (-81.037094 34.009286),33,2581
WCA HOSPITAL,NY,JAMESTOWN,70310,35156,0,POINT (-79.242051 42.098961),47,2035
CENTRAL JERSEY NEPHROL,NJ,EDISON,0,5866,0,POINT (-74.388231 40.525525),46,2490
NORTH END COMMUNITY HE,MA,CHARLESTOWN,2905,94,4152,POINT (-71.0625 42.3778),25,1918
SOUTHWEST KIDNEY INSTI,AZ,FLAGSTAFF,0,2272,0,POINT (-111.65132 35.198177),7,986
MMC RHEUMATOLOGY FPP,NY,BROOKLYN,0,85,0,POINT (-73.990996 40.692529),,2090
FACULTY PRACTICE ASSOC,NY,NEW YORK,0,11614,0,POINT (-74.007228 40.713054),46,2095
CURATIVE WELLNESS LLC,CA,SAN DIMAS,0,0,90874,POINT (-117.802753 34.106678),8,1195
JUNCTION CITY FIRE DEP,KS,JUNCTION CITY,0,2350,0,POINT (-96.837231 39.02829),17,1948
RDMG ASSOCIATES PA,NC,FAYETTEVILLE,269,51,0,POINT (-78.883659 35.054417),37,2293
HAMILTON PHYSICIAN GRO,GA,ETON,196,105,0,POINT (-84.761726 34.82416),31,1473
REEDLEY COMMUNITY HOSP,CA,DINUBA,820,122,0,POINT (-119.391617 36.545788),8,81
SHERIDAN CHILDRENS HEA,SC,CHARLESTON,0,804,0,POINT (-79.931027 32.77647),33,1968
SAPPHIRE CENTER FOR RE,NY,FLUSHING,0,17594,0,POINT (-73.817802 40.765301),47,2137
COMPASS URGENT CARE,AL,MOBILE,161536,44070,226,POINT (-88.044822 30.688943),29,1591
AGAPE SENIOR PRIMARY C,SC,BENNETTSVILLE,27420,739,40,POINT (-79.685111 34.631771),33,2531
ATHENS CLARKE EMERGENC,FL,ORMOND BEACH,548,0,0,POINT (-81.098428 29.319025),30,1091
UCHEALTH MEDICAL GROUP,CO,LONGMONT,0,36565,0,POINT (-105.101194 40.165729),9,85
BONITO INPATIENT SERVI,NV,LAS VEGAS,0,1429,0,POINT (-115.140597 36.169202),10,480
SECAUCUS PHYSICIAN ASS,NJ,SECAUCUS,0,16988,0,POINT (-74.067857 40.778204),46,488
CLINICAL LABORATORY PA,CT,NEWINGTON,27,0,0,POINT (-72.723843 41.698002),24,1041
SUNSET COMMUNITY HEALT,AZ,SAN LUIS,181,325,0,POINT (-111.954399 32.080299),7,942
COMMUNITY FAMILY CLINI,KY,MOUNT STERLING,0,80,0,POINT (-83.942105 38.056374),36,1435
NEVADA REGIONAL MEDICA,MO,RICH HILL,121,0,0,POINT (-94.366549 38.097544),18,2651
WELL MART PHARMACY,NJ,FORT LEE,160,0,9210,POINT (-73.968307 40.850929),46,487
TULIKA NARAIN,NY,MEDFORD,0,0,288,POINT (-72.999812 40.817671),47,2179
ST JOSEPHS MEDICAL CEN,MN,DULUTH,0,91,0,POINT (-92.105457 46.782882),1,389
SUNBELT OASIS EMERGENC,NM,PORTALES,66,0,0,POINT (-103.345211 34.181053),11,1987
SUMMIT HEALTHCARE MEDI,AZ,EAGAR,0,0,60,POINT (-109.289546 34.110989),7,985
NAZARETH PHYSICIAN SER,PA,PHILA,0,1779,0,POINT (-75.485762 40.041849),48,2496
EAST VALLEY EMERGENCY,CA,WHITTIER,6493,2229,0,POINT (-118.048051 33.967318),8,1195
VITAL URGENT CARE,CA,NEWPORT BEACH,9686498,89688,0,POINT (-117.930378 33.615967),8,1174
METHODIST ASSOCIATES I,PA,LANGHORNE,0,205,0,POINT (-74.917008 40.176768),48,2458
NORTHWEST ALLIED PHYSI,AZ,TUCSON,280,92,0,POINT (-110.971225 32.221878),7,942
FAIRVIEW HEALTH SERVIC,MN,MILACA,2900,0,0,POINT (-93.648596 45.755459),1,1457
LINCARE BILLING DEPT,SD,WAGNER,0,500,0,POINT (-98.2942 43.082676),21,2633
HAMILTON PARK NURSING,NY,BROOKLYN,0,214584,0,POINT (-73.990996 40.692529),,2090
SON CHAU,FL,ORLANDO,0,0,4190,POINT (-81.378879 28.538331),30,1078
MONROE COUNTY HOSPITAL,IA,ALBIA,46562,15962,0,POINT (-92.807111 41.026219),16,292
STEWARD EMERGENCY PHYS,MA,DORCHESTER CENTER,14955,1594,0,POINT (-71.072197 42.291698),25,1918
COUNTY OF HAMILTON,FL,LAKE CITY,0,4993,0,POINT (-82.637146 30.188652),30,1096
PROVIDENCE HOSPITAL AN,MI,LIVONIA,78,0,40,POINT (-83.36961 42.39709),50,1345
SAREEN PHARMACY INC,CA,HUGHSON,200,0,7979,POINT (-120.86546 37.597842),8,1340
SINAI MEDICAL LABORATO,CA,ENCINO,218411,617,0,POINT (-118.500298 34.159199),8,1195
THE EMORY CLINIC,GA,SMYRNA,2272,2679,0,POINT (-84.512657 33.880244),31,1166
AUGUSTA NEURO HOSPITAL,GA,AUGUSTA,0,1592,0,POINT (-81.964397 33.472494),31,1523
2RKS LLC,NC,BURNSVILLE,0,0,3760,POINT (-82.299744 35.91579),37,2373
CENTENNIAL HEART LLC,TN,NASHVILLE,245,847,0,POINT (-86.779932 36.166687),39,2005
H  S PHARMACIES LLC,IL,STEELEVILLE,0,0,3720,POINT (-89.658585 38.006948),34,1762
CARESOUTH CAROLINA INC,SC,HARTSVILLE,61,0,0,POINT (-80.084526 34.369846),33,745
RADIOLOGY ASSOCIATES O,MS,BATESVILLE,447,3751,0,POINT (-89.951029 34.313747),32,500
ST LUKES REGIONAL MEDI,ID,BOISE,1220322,2921076,80,POINT (-116.201579 43.615791),5,1659
UCHEALTH MEDICAL GROUP,CO,DENVER,224,177,0,POINT (-104.984853 39.738453),9,1444
UNIVERSITY PHYSICIANS,NY,BROOKLYN,0,304,0,POINT (-73.990996 40.692529),,2090
SOUTHERN IDAHO HEALTH,ID,MERIDIAN,44629,9861,48320,POINT (-116.391569 43.610115),5,1659
MARY BRECKINRIDGE ARH,KY,HYDEN,795,420,4585,POINT (-83.373614 37.162296),36,1383
NURSING PLUS OF BROWAR,FL,HOLLYWOOD,80351,0,0,POINT (-80.139055 26.011757),30,1054
N RAO BOORGU MD PC,AL,FLORENCE,0,10615,400,POINT (-87.673264 34.801317),29,1584
NORTH GEORGIA RESPI CA,GA,EAST ELLIJAY,0,4148,0,POINT (-84.473319 34.684994),31,1138
EXCEPTIONAL PRIMARY AN,MD,SILVER SPRING,52849,4550,840,POINT (-77.028121 38.996088),45,1814
PRIMARY HEALTH CARE,IA,URBANDALE,4265,1167,280,POINT (-93.736522 41.630343),16,1878
DUTCH PHARMACIES INC,MS,COLUMBUS,80,0,18663,POINT (-88.424393 33.495562),32,2539
PRIMARY CARE PARTNERS,NJ,MOUNTAIN LAKES,0,85,0,POINT (-74.450376 40.887142),46,2492
SANTA BARBARA RADIOLOG,CA,SANTA BARBARA,304,367,0,POINT (-119.698342 34.420867),8,79
BMA BURLINGTON,NC,ROCKY MOUNT,0,0,40,POINT (-77.800239 35.939032),37,648
BAPTIST MEMORIAL MEDIC,GA,ATLANTA,0,0,40,POINT (-84.391502 33.748547),31,1137
PRIVIA MEDICAL GROUP O,GA,SAVANNAH,8740,81541,4485,POINT (-81.090103 32.08059),31,1160
MATTES PHARMACY,LA,MARION,40,0,5404,POINT (-92.242051 32.901429),22,272
MONMOUTH OCEAN PULMONA,NJ,MORGANVILLE,0,34160,0,POINT (-74.25687 40.375407),46,2491
TJ SAMSON COMMUNITY HO,KY,EDMONTON,154,0,0,POINT (-85.612293 36.980098),36,253
HASEEB JABBAR MD PA,FL,GAINESVILLE,0,8572,0,POINT (-82.325024 29.651958),30,1050
SPARTANBURG MEDICAL CE,SC,LANDRUM,1452,1860,0,POINT (-82.189294 35.174896),33,2582
ST JOHN HOSPITAL AND M,MI,MACOMB,493,1653,855,POINT (-82.959024 42.700706),50,1265
UCLA DEPARTMENT OF MED,CA,LOS ANGELES,436,858,0,POINT (-118.243344 34.052238),8,1195
EXPRESS MED URGENT CAR,MI,SOUTHFIELD,73442,9548,0,POINT (-83.240756 42.477952),50,1307
GADSDEN REGIONAL PHYSI,AL,RAINBOW CITY,73,0,0,POINT (-86.139964 33.928922),29,98
EXCEL URGENT CARE OF P,NJ,PARAMUS,183594,6848,0,POINT (-74.075269 40.951915),46,487
GENEMARKERS,MI,KALAMAZOO,1265729,370,40,POINT (-85.584682 42.289777),50,348
HOLY CROSS MEDICAL GRO,FL,FORT LAUDERDALE,1844573,3659391,6032,POINT (-80.143586 26.124163),30,1054
INPATIENT CONSULTANTS,NC,CHERRYVILLE,0,75,0,POINT (-81.380745 35.381771),37,2339
MEMORIAL COMMUNITY HOS,NE,BLAIR,60873,149223,680,POINT (-96.13615 41.543712),19,2355
RENEX DIALYSIS FACILIT,MS,PORT GIBSON,0,0,40,POINT (-90.981924 31.960448),32,1600
RADIOLOGY CONSULTANTS,IL,OAK BROOK,0,753,0,POINT (-87.928669 41.832946),34,1866
GRIFFIN FACULTY PRACTI,CT,SHELTON,0,14913,0,POINT (-73.092968 41.316843),24,1040
FLORIDA HEALTH CARE LL,FL,THE VILLAGES,0,18716,0,POINT (-81.959137 28.932808),30,1088
APS CORELIFE LLC,MD,MILLERSVILLE,40,0,31549,POINT (-76.6483 39.059399),45,418
UNIV FACULTY FOUNDATIO,CA,VISALIA,2728,1009,0,POINT (-119.29888 36.33012),8,81
SHERMANS PHARMACY,IL,BRIMFIELD,680,0,2830,POINT (-89.887758 40.838849),34,1757
JOSHUA DEITCH CHIROPRA,CA,MILL VALLEY,113,0,0,POINT (-122.547548 37.906673),8,1167
MEDCOMP SCIENCES LLC,LA,ZACHARY,403986,20266,0,POINT (-91.150453 30.647804),22,1582
NEEL MANN MD SHORE MED,NY,BETHPAGE,0,370,0,POINT (-73.481342 40.738407),47,2094
ELIZABETH MUDDIMAN CEF,FL,NORTH PORT,0,0,40,POINT (-82.236681 27.042196),30,1086
H2 HOSPITAL ASSOCIATES,FL,LAKE WORTH,0,6257,0,POINT (-80.058568 26.609859),,52
IANNARONE INC TRADING,NJ,MADISON,0,0,2933,POINT (-74.414988 40.758748),46,2492
QUESTCARE OBSTETRICS O,IL,MCHENRY,153,0,0,POINT (-88.27339 42.344597),34,1722
NATIVE AMERICAN COMMUN,MN,MINNEAPOLIS,1343,43,0,POINT (-93.264346 44.977479),1,1406
MERCY MEDICAL,LA,HODGE,55824,140775,1163,POINT (-92.723656 32.265734),22,1626
BOBOS DRUGS INC,FL,TAMPA,160,0,480,POINT (-82.458776 27.947423),30,1107
GENESYS REGIONAL MEDIC,MI,BURTON,0,0,31739,POINT (-83.62442 42.997779),50,438
MED CARE PHARMACY INC,PR,GUAYNABO,0,0,2760,POINT (-66.110865 18.357203),,3046
PRESENCE HEALTHCARE SE,IL,EVANSTON,0,14336,0,POINT (-87.687867 42.052157),34,1863
AVERA HOME MEDICAL EQU,SD,SIOUX FALLS,0,4784,0,POINT (-96.743185 43.488765),21,2684
CENTRAL POINT PHARMACY,OH,COLUMBUS,0,0,6148,POINT (-82.996216 39.962649),38,2520
EXPRESS CARE OR LLC,OR,PORTLAND,1265,521,0,POINT (-122.681425 45.516018),12,2410
ADVANCE MEDICINE OF WE,NJ,WEST ORANGE,304,11050,0,POINT (-74.269745 40.792503),46,2486
INFECTIOUS DISEASES AS,NJ,HACKENSACK,0,29357,0,POINT (-74.043799 40.881341),46,487
INPATIENT CONSULTANTS,NC,POLLOCKSVILLE,0,131,0,POINT (-77.221003 35.005722),37,2389
PRACTICE ASSOCIATES ME,NJ,SUMMIT,4921,138548,779,POINT (-74.358745 40.717981),46,2532
SOUTHLAND OPTIM JENKIN,GA,HINESVILLE,34678,17137,0,POINT (-81.596261 31.847461),31,1425
TOWN OF STRATFORD CT,CT,STRATFORD,0,4494,0,POINT (-73.131323 41.200888),24,1040
SAINT FRANCIS OUTREACH,OK,TULSA,1229115,48489,0,POINT (-95.992083 36.155327),20,2273
ADVANCED HOME MED,SC,AIKEN,0,22548,0,POINT (-81.71615 33.563871),33,2704
LSUHN BILLING LLC,LA,BATON ROUGE,0,21045,0,POINT (-91.187488 30.443319),22,1582
INSIGHT CHICAGO INC,IL,CHICAGO,0,441,0,POINT (-87.632398 41.883229),34,1863
HENRY FORD HEALTH SYST,MI,GROSSE POINTE FARMS,0,76,0,POINT (-82.893872 42.406906),,1345
EDWARD HEALTH VENTRUES,IL,NAPERVILLE,1287,43326,0,POINT (-88.147999 41.771495),34,1866
ROSALYN J KENNEY ARNP,NH,SALEM,2730,893,0,POINT (-71.200929 42.788567),26,2443
SPECIALIST IN MEDICAL,IL,PEKIN,1852,7093,0,POINT (-89.646592 40.567632),34,1802
FAST TRACK MEDICAL LLC,MO,SAINT LOUIS,10120,1803,0,POINT (-90.200309 38.630276),18,2223
CAROL CLARK,AR,MARION,40,0,15072,POINT (-90.257514 35.191811),15,959
CHICOT MEMORIAL MEDICA,AR,LAKE VILLAGE,1003,102856,5542,POINT (-91.281706 33.330971),15,953
WACHUSETT EMERGENCY PH,MA,FAIRHAVEN,4084,125,0,POINT (-70.900935 41.643719),25,1859
WHITE HOUSE CLINICS,KY,LANCASTER,96,121,1657,POINT (-84.578721 37.619336),36,1278
APOGEE MEDICAL GROUP T,TN,ETOWAH,0,3481,0,POINT (-84.532249 35.325989),39,695
CHAD A CONATSER MD,TN,JAMESTOWN,495,99,0,POINT (-84.931892 36.42757),39,2043
IGM INC,PA,PHILADELPHIA,320,0,13458,POINT (-75.16562 39.951061),48,2602
TRUSTEES OF COLUMBIA U,NY,NEW YORK,125,14126,0,POINT (-74.007228 40.713054),46,2095
PORTLAND URGENT CARE,OR,PORTLAND,294367,1234,295,POINT (-122.681425 45.516018),12,2410
MIDWEST POST ACUTE CAR,CA,LOS ANGELES,0,417,0,POINT (-118.243344 34.052238),8,1195
UT URGENT CARE CENTERS,TN,SEVIERVILLE,18,0,0,POINT (-83.562981 35.868379),39,2110
EMERGENCY PHYSICIANS O,CT,WATERBURY,54102,34273,0,POINT (-73.043069 41.554261),24,1044
MERCYMED OF COLUMBUS I,GA,COLUMBUS,124953,2667,0,POINT (-84.990405 32.466682),31,1513
SOUTHWEST MEDICAL ASSO,NM,ALBUQUERQUE,0,97053,40,POINT (-106.649241 35.084248),11,491
STATMD PHYSICIANS,NY,NEW HYDE PARK,476621,26450,12311,POINT (-73.688398 40.735251),47,2094
BORREGO COMMUNITY HEAL,CA,JURUPA VALLEY,0,0,40,POINT (-117.475 33.9994),8,1177
FARID GHEBLEH MD PC,AZ,PHOENIX,0,6232,0,POINT (-112.072585 33.448204),7,989
ECHO PHARMACY LLC,NY,MILLER PLACE,0,0,1126,POINT (-73.003764 40.958149),47,2179
ST MARYS HOSPITAL,ID,CRAIGMONT,121,136,120,POINT (-116.471183 46.240736),5,1737
CITY PHARMACY INC,AR,POCAHONTAS,40,0,2520,POINT (-90.970708 36.261286),15,999
UCHEALTH MEDICAL GROUP,CO,LOVELAND,667,27409,0,POINT (-105.070584 40.394386),9,1012
SOUTHERN INYO HOSPITAL,CA,LONE PINE,4406,5781,0,POINT (-118.062968 36.604908),8,1191
SOUTH JERSEY INFECTIOU,NJ,SOMERS POINT,0,8599,0,POINT (-74.596285 39.312717),46,2446
SALEM PHARMACY LLC,CT,SALEM,0,0,1216,POINT (-72.274406 41.487106),24,1045
MIDDLE TENNESSEE EMERG,TN,NASHVILLE,134699,68791,0,POINT (-86.779932 36.166687),39,2005
WHITE DRUG COMPANY OF,ND,BISMARCK,0,0,1490,POINT (-100.781609 46.80537),3,2378
BEAUMONT MEDICAL GROUP,MI,DEARBORN,23,9771,51977,POINT (-83.17594 42.322141),50,1345
MEDSTAR ST MARYS HOSPI,MD,CHARLOTTE HALL,0,1218,0,POINT (-76.775164 38.497724),45,424
IMAGING ASSOCIATES OF,IN,MUNSTER,0,29,0,POINT (-87.508975 41.561282),35,1902
PIONEER PHYSICIANS NET,OH,TALLMADGE,0,0,40,POINT (-81.383381 41.10611),38,2620
ASPIRUS IRONWOOD HOSPI,MI,IRONWOOD,94155,89915,1094,POINT (-90.168862 46.453104),41,1314
MT VERNON COMM PHARM I,IL,MOUNT VERNON,0,0,5971,POINT (-88.904734 38.317612),34,121
OVAL PHARMACY CORP,NY,BRONX,680,0,3684,POINT (-73.920265 40.826153),47,2032
MICHIGAN INTERNAL MEDI,MI,WATERFORD,0,511,0,POINT (-83.383103 42.659169),50,1307
HEALTH SERVICES OF CEN,GA,BYRON,561,5057,0,POINT (-83.758848 32.653399),31,1516
MASSACHUSETTS GENERAL,MA,BRAINTREE,0,119,0,POINT (-71.004215 42.207125),25,1916
ARKANSAS HEALTH GROUP,AR,CABOT,3496,386,80,POINT (-92.015808 34.973194),15,1034
EMORY MEDICAL GROUP LL,GA,STOCKBRIDGE,0,100,0,POINT (-84.231532 33.544216),31,1415
MT MEDICAL FLORIDA,SC,HANAHAN,0,4359,0,POINT (-79.990098 32.919674),33,2709
PARKVIEW HUNTINGTON HO,IN,HUNTINGTON,69345,74315,0,POINT (-85.49732 40.882786),35,154
COMPREHENSIVE LUNG CAR,NJ,SOMERSET,0,6644,0,POINT (-74.522971 40.498331),46,490
BLUE RIDGE MEDICAL GRO,NC,MORGANTON,5512,50646,0,POINT (-81.688118 35.745556),37,2233
BLOOM CARE LLC,ID,NAMPA,1447035,243669,1040,POINT (-116.573581 43.585322),5,1692
ST ELIZABETH MEDICAL C,KY,FLORENCE,200,80,0,POINT (-84.626609 38.998876),36,1923
PINNACLE HEALTH MEDICA,PA,NEWPORT,88,460,0,POINT (-77.1322 40.476069),48,2601
ALLINA HEALTH SYSTEM,MN,SAINT PAUL,17562,4144,0,POINT (-93.094281 44.943719),1,1506
CROSSROADS URGENT CARE,TN,MADISON,17533,1239,0,POINT (-86.713898 36.2561),39,2005
ADVENTIST HEALTH PARTN,IL,NORTH RIVERSIDE,0,81,0,POINT (-87.821727 41.844619),34,1863
CALDWELL MEMORIAL,NC,BLOWING ROCK,358,121,0,POINT (-81.671526 36.132693),37,2330
ROBERT D MABE INC,OH,ASHVILLE,0,0,2861,POINT (-82.953496 39.714596),38,2619
MMG ANESTHESIOLOGY LLC,MD,CLINTON,0,10497,0,POINT (-76.906159 38.763908),45,1815
COMMUNITY INTENSIVISTS,OH,MIDDLEBURG HEIGHTS,0,24823,0,POINT (-81.80789 41.370822),38,2515
RENAL CARE GROUP GAINE,GA,GAINESVILLE,0,0,28,POINT (-83.829629 34.298772),31,1379
PREMIER MEDICAL GROUP,TN,CLARKSVILLE,2693,5519,1320,POINT (-87.360338 36.527278),39,697
